"zip_code","variable","sex","age","estimate"
60043,"B01001_006E","Male","15 to 17 years",76
60043,"B01001_007E","Male","18 and 19 years",45
60043,"B01001_008E","Male","20 years",12
60043,"B01001_009E","Male","21 years",4
60043,"B01001_010E","Male","22 to 24 years",41
60043,"B01001_011E","Male","25 to 29 years",13
60043,"B01001_012E","Male","30 to 34 years",0
60043,"B01001_013E","Male","35 to 39 years",60
60043,"B01001_014E","Male","40 to 44 years",61
60043,"B01001_015E","Male","45 to 49 years",79
60043,"B01001_016E","Male","50 to 54 years",96
60043,"B01001_017E","Male","55 to 59 years",142
60043,"B01001_018E","Male","60 and 61 years",37
60043,"B01001_019E","Male","62 to 64 years",44
60043,"B01001_020E","Male","65 and 66 years",16
60043,"B01001_021E","Male","67 to 69 years",16
60043,"B01001_022E","Male","70 to 74 years",45
60043,"B01001_023E","Male","75 to 79 years",26
60043,"B01001_024E","Male","80 to 84 years",32
60043,"B01001_025E","Male","85 years and over",56
60043,"B01001_027E","Female","Under 5 years",100
60043,"B01001_028E","Female","5 to 9 years",85
60043,"B01001_029E","Female","10 to 14 years",114
60043,"B01001_030E","Female","15 to 17 years",58
60043,"B01001_031E","Female","18 and 19 years",20
60043,"B01001_032E","Female","20 years",25
60043,"B01001_033E","Female","21 years",0
60043,"B01001_034E","Female","22 to 24 years",32
60043,"B01001_035E","Female","25 to 29 years",24
