zcta,variable,sex,age,total_pop,pop_in_cook
60026,P012037,Female,35 to 39 years,394,394
60026,P012038,Female,40 to 44 years,529,529
60026,P012039,Female,45 to 49 years,536,536
60026,P012040,Female,50 to 54 years,522,522
60026,P012041,Female,55 to 59 years,505,505
60026,P012042,Female,60 and 61 years,198,198
60026,P012043,Female,62 to 64 years,297,297
60026,P012044,Female,65 and 66 years,143,143
60026,P012045,Female,67 to 69 years,198,198
60026,P012046,Female,70 to 74 years,287,287
60026,P012047,Female,75 to 79 years,235,235
60026,P012048,Female,80 to 84 years,267,267
60026,P012049,Female,85 years and over,457,457
60029,P012003,Male,Under 5 years,15,15
60029,P012004,Male,5 to 9 years,29,29
60029,P012005,Male,10 to 14 years,16,16
60029,P012006,Male,15 to 17 years,11,11
60029,P012007,Male,18 and 19 years,6,6
60029,P012008,Male,20 years,2,2
60029,P012009,Male,21 years,3,3
60029,P012010,Male,22 to 24 years,12,12
60029,P012011,Male,25 to 29 years,10,10
60029,P012012,Male,30 to 34 years,4,4
60029,P012013,Male,35 to 39 years,10,10
60029,P012014,Male,40 to 44 years,26,26
60029,P012015,Male,45 to 49 years,21,21
60029,P012016,Male,50 to 54 years,15,15
60029,P012017,Male,55 to 59 years,21,21
60029,P012018,Male,60 and 61 years,8,8
60029,P012019,Male,62 to 64 years,9,9
60029,P012020,Male,65 and 66 years,6,6
60029,P012021,Male,67 to 69 years,7,7
60029,P012022,Male,70 to 74 years,11,11
60029,P012023,Male,75 to 79 years,10,10
60029,P012024,Male,80 to 84 years,4,4
60029,P012025,Male,85 years and over,7,7
60029,P012027,Female,Under 5 years,18,18
60029,P012028,Female,5 to 9 years,27,27
60029,P012029,Female,10 to 14 years,14,14
60029,P012030,Female,15 to 17 years,9,9
60029,P012031,Female,18 and 19 years,2,2
60029,P012032,Female,20 years,2,2
60029,P012033,Female,21 years,1,1
60029,P012034,Female,22 to 24 years,10,10
60029,P012035,Female,25 to 29 years,2,2
60029,P012036,Female,30 to 34 years,4,4
60029,P012037,Female,35 to 39 years,18,18
60029,P012038,Female,40 to 44 years,17,17
