geoid_zcta,variable,sex,age,total_pop,pop_in_cook
60165,P12_029N,Female,10 to 14 years,174,174
60165,P12_030N,Female,15 to 17 years,113,113
60165,P12_031N,Female,18 and 19 years,84,84
60165,P12_032N,Female,20 years,33,33
60165,P12_033N,Female,21 years,34,34
60165,P12_034N,Female,22 to 24 years,88,88
60165,P12_035N,Female,25 to 29 years,162,162
60165,P12_036N,Female,30 to 34 years,153,153
60165,P12_037N,Female,35 to 39 years,142,142
60165,P12_038N,Female,40 to 44 years,158,158
60165,P12_039N,Female,45 to 49 years,158,158
60165,P12_040N,Female,50 to 54 years,141,141
60165,P12_041N,Female,55 to 59 years,116,116
60165,P12_042N,Female,60 and 61 years,57,57
60165,P12_043N,Female,62 to 64 years,57,57
60165,P12_044N,Female,65 and 66 years,35,35
60165,P12_045N,Female,67 to 69 years,47,47
60165,P12_046N,Female,70 to 74 years,33,33
60165,P12_047N,Female,75 to 79 years,39,39
60165,P12_048N,Female,80 to 84 years,29,29
60165,P12_049N,Female,85 years and over,26,26
60169,P12_003N,Male,Under 5 years,959,959
60169,P12_004N,Male,5 to 9 years,1020,1020
60169,P12_005N,Male,10 to 14 years,1065,1065
60169,P12_006N,Male,15 to 17 years,706,706
60169,P12_007N,Male,18 and 19 years,402,402
60169,P12_008N,Male,20 years,210,210
60169,P12_009N,Male,21 years,193,193
60169,P12_010N,Male,22 to 24 years,667,667
60169,P12_011N,Male,25 to 29 years,1338,1338
60169,P12_012N,Male,30 to 34 years,1319,1319
60169,P12_013N,Male,35 to 39 years,1349,1349
60169,P12_014N,Male,40 to 44 years,1167,1167
60169,P12_015N,Male,45 to 49 years,1085,1085
60169,P12_016N,Male,50 to 54 years,1060,1060
60169,P12_017N,Male,55 to 59 years,1056,1056
60169,P12_018N,Male,60 and 61 years,404,404
60169,P12_019N,Male,62 to 64 years,654,654
60169,P12_020N,Male,65 and 66 years,346,346
60169,P12_021N,Male,67 to 69 years,443,443
60169,P12_022N,Male,70 to 74 years,588,588
60169,P12_023N,Male,75 to 79 years,342,342
60169,P12_024N,Male,80 to 84 years,198,198
60169,P12_025N,Male,85 years and over,205,205
60169,P12_027N,Female,Under 5 years,1028,1028
60169,P12_028N,Female,5 to 9 years,1080,1080
60169,P12_029N,Female,10 to 14 years,1059,1059
60169,P12_030N,Female,15 to 17 years,624,624
60169,P12_031N,Female,18 and 19 years,401,401
60169,P12_032N,Female,20 years,173,173
60169,P12_033N,Female,21 years,199,199
60169,P12_034N,Female,22 to 24 years,684,684
60169,P12_035N,Female,25 to 29 years,1258,1258
60169,P12_036N,Female,30 to 34 years,1300,1300
60169,P12_037N,Female,35 to 39 years,1303,1303
60169,P12_038N,Female,40 to 44 years,1137,1137
60169,P12_039N,Female,45 to 49 years,1145,1145
60169,P12_040N,Female,50 to 54 years,1098,1098
60169,P12_041N,Female,55 to 59 years,1172,1172
60169,P12_042N,Female,60 and 61 years,455,455
60169,P12_043N,Female,62 to 64 years,655,655
60169,P12_044N,Female,65 and 66 years,444,444
60169,P12_045N,Female,67 to 69 years,530,530
60169,P12_046N,Female,70 to 74 years,635,635
60169,P12_047N,Female,75 to 79 years,437,437
60169,P12_048N,Female,80 to 84 years,283,283
60169,P12_049N,Female,85 years and over,372,372
60171,P12_003N,Male,Under 5 years,294,294
60171,P12_004N,Male,5 to 9 years,257,257
60171,P12_005N,Male,10 to 14 years,312,312
60171,P12_006N,Male,15 to 17 years,197,197
60171,P12_007N,Male,18 and 19 years,136,136
60171,P12_008N,Male,20 years,41,41
60171,P12_009N,Male,21 years,80,80
60171,P12_010N,Male,22 to 24 years,193,193
60171,P12_011N,Male,25 to 29 years,331,331
60171,P12_012N,Male,30 to 34 years,391,391
60171,P12_013N,Male,35 to 39 years,419,419
60171,P12_014N,Male,40 to 44 years,372,372
60171,P12_015N,Male,45 to 49 years,363,363
60171,P12_016N,Male,50 to 54 years,364,364
60171,P12_017N,Male,55 to 59 years,323,323
60171,P12_018N,Male,60 and 61 years,181,181
60171,P12_019N,Male,62 to 64 years,216,216
60171,P12_020N,Male,65 and 66 years,118,118
60171,P12_021N,Male,67 to 69 years,167,167
60171,P12_022N,Male,70 to 74 years,184,184
60171,P12_023N,Male,75 to 79 years,112,112
60171,P12_024N,Male,80 to 84 years,65,65
60171,P12_025N,Male,85 years and over,59,59
60171,P12_027N,Female,Under 5 years,249,249
60171,P12_028N,Female,5 to 9 years,264,264
60171,P12_029N,Female,10 to 14 years,299,299
60171,P12_030N,Female,15 to 17 years,194,194
60171,P12_031N,Female,18 and 19 years,120,120
60171,P12_032N,Female,20 years,50,50
60171,P12_033N,Female,21 years,61,61
60171,P12_034N,Female,22 to 24 years,193,193
60171,P12_035N,Female,25 to 29 years,347,347
60171,P12_036N,Female,30 to 34 years,391,391
60171,P12_037N,Female,35 to 39 years,414,414
60171,P12_038N,Female,40 to 44 years,355,355
60171,P12_039N,Female,45 to 49 years,373,373
60171,P12_040N,Female,50 to 54 years,367,367
